Transaction Search - Company
BMO - Mastercard, Statement Period 05/06/2026 to 06/05/2026

Posting Date   Tran Date        Account                        Supplier       Amount USD
5/11/2026    5/9/2026 XXXX-XXXX-XXXX-9199   Amazon Mktpl Bv86r1991   $    71.14
5/11/2026    5/9/2026 XXXX-XXXX-XXXX-9199   Stapls7915473678000005   $   153.15
5/11/2026    5/9/2026 XXXX-XXXX-XXXX-6061   Dominos 1756             $    89.57
5/11/2026    5/9/2026 XXXX-XXXX-XXXX-6253   Dd Doordash Wingstop     $    24.74
5/11/2026    5/9/2026 XXXX-XXXX-XXXX-6253   Dd Doordash Thesweets    $    32.59
5/11/2026    5/9/2026 XXXX-XXXX-XXXX-6253   Dd Doordash Nashville    $    47.13
5/11/2026    5/9/2026 XXXX-XXXX-XXXX-6253   Dd Doordash Shakeshac    $   109.06
5/11/2026   5/10/2026 XXXX-XXXX-XXXX-9167   Amazon.Com Bf57c84c1     $    10.94
5/11/2026   5/10/2026 XXXX-XXXX-XXXX-9167   Amazon Mktplace Pmts     $   (14.36)
5/11/2026   5/10/2026 XXXX-XXXX-XXXX-9167   Amazon.Com Bv76q10u0     $    18.99
5/11/2026   5/10/2026 XXXX-XXXX-XXXX-9167   Amazon.Com Bv0517es0     $   131.06
5/11/2026   5/10/2026 XXXX-XXXX-XXXX-9167   Amazon.Com Bf5r39f81     $   161.33
5/11/2026   5/10/2026 XXXX-XXXX-XXXX-9167   Amazon Mktpl Bv27x8re1   $   369.87
5/11/2026   5/10/2026 XXXX-XXXX-XXXX-9199   Amazon Mktpl Bv74h00f0   $     6.49
5/11/2026   5/10/2026 XXXX-XXXX-XXXX-9199   Amazon Mktpl Bv2dq8es0   $    29.69
5/11/2026   5/10/2026 XXXX-XXXX-XXXX-9199   Amazon Mktpl Bv65n5ws1   $    29.94
5/11/2026   5/10/2026 XXXX-XXXX-XXXX-9199   Amazon Mktpl Bf7cc04o1   $    59.99
5/11/2026   5/10/2026 XXXX-XXXX-XXXX-9199   Amazon Mktpl R518f8sp3   $    77.87
