Account                     Transaction Date   Supplier - Name          Transaction - Description                                                                                        Amount
21 0109 1900 923 6601 611   04/29/2026   Subway 28736             Pregame Meals                                                                                                       187.50
21 0109 1900 922 6740 611   04/29/2026   Subway 28736             Pregame Meals                                                                                                       202.50
21 0109 1900 923 6601 611   04/29/2026   Subway 28736             Pregame Meals                                                                                                        60.00
21 0109 1900 923 6825 611   04/29/2026   Subway 28736             Pregame Meals                                                                                                       337.25
10 0488 1282 431 4501 612   04/29/2026   Amazon Mktpl Bs0310yf1   EXPO Dry Erase Markers, - Title 1/Weber c/o Danielle Burnett                                                         28.99
10 0447 1100 102 0000 612   04/29/2026   Amazon Mktpl Bv4ft9lt2   Black Kraft Paper Roll - Glow Show                                                                                   59.99
10 0000 2630 000 0000 686   04/29/2026   Pyramid Services         Unit 417 carburetor                                                                                                 272.65
21 0118 1900 950 7185 611   04/29/2026   Amazon Mktpl Bs0bm10t0   Aaoyun Mini Portable Power Bank x15                                                                                 149.85
10 0136 2410 000 0000 611   04/29/2026   Amazon.Com Bv1220lq2     Kleenex Facial Tissue                                                                                                33.98
21 0109 1900 950 7135 611   04/29/2026   Mailboxes Of Iowa City   Spring Musical Costume Rental Return Shipping                                                                       379.64
                                                                  ABC Ink Refill Fluid for Self-Inking Stamp -Supplies funded by Title 1 funds - Alexander Elementary c/o Beth
10 0442 1282 431 4501 612   04/29/2026   Amazon Mktpl Bv4l283n2   Ramsey                                                                                                               29.96
10 0109 1100 102 0000 612   04/29/2026   Blick Art 800 447 1892   General Art Classroom Supplies                                                                                      117.15
10 0442 1282 431 4501 612   04/29/2026   Amazon Mktpl Bs84o1xz0   Supplies funded by Title 1 funds - Alexander Elementary c/o Beth Ramsey                                             401.32
21 0406 1900 950 7000 611   04/29/2026   Amazon Mktpl Bs8065mo0   100pk Paper Popcorn Boxes - Teacher Appreciation                                                                     19.98
                                                                  Putty Slime, Cube Puzzles, Pull Back Cars Set, Fidget Keychains, 60pk Pens - Heather Stevens/World Wide
21 0493 1900 950 7000 611   04/29/2026   Amazon Mktpl Bs8fn95t0   Wickham Event                                                                                                        85.39
10 0493 2221 000 0000 611   04/29/2026   Amazon Mktpl Bs4qk1gg0   Wickham Library supplies & MakerSpace items                                                                         251.50
                                                                  Flamingo Party Supplies, Jellyfish Lanterns, Blue Foil Fringe Curtains, Under the Sea Deco, Tropical Fish Deco,
21 0218 1900 950 7040 611   04/29/2026   Amazon Mktpl Bj7de6fy1   Beach Balls - Ten Eyck/Student Council Party                                                                         83.04
10 0000 2650 000 0000 681   04/29/2026   Napa Store 3137142       Stock oil                                                                                                            74.97
10 0118 1100 100 0000 612   04/29/2026   Amazon Mktpl Bs7kg90h0   Ink Cartridges - Marie Wenzlaff                                                                                     238.90
10 0445 3300 431 4501 618   04/29/2026   Amazon.Com Bs18q4xj0     Colored Paper - Title 1 - Mann c/o Camille Wagner                                                                    20.85
21 0114 1900 950 7135 611   04/29/2026   Amazon Mktplace Pmts     Credit -Costume return                                                                                               (29.69)
10 0445 3300 431 4501 618   04/29/2026   Amazon Mktpl Bv9tr9f22   Colored Paper - Title 1 - Mann c/o Camille Wagner                                                                    10.73
10 0000 2610 000 0000 438   04/29/2026   Electric Motors Of Ic    WO 214294 blower repair                                                                                             188.12
